"AcceptingNewPatients","Accessibility","AccountID","AccountName","ActiveMHDesignation","ActiveRSSOLicense","ActiveSUDLicense","AddressOneLine","CommunityMentalHealthCenter","CommunityMentalHealthClinic","DUIDWI","DisplayName","Fees","HideAddress","HoursofOperationFriday","HoursofOperationMonday","HoursofOperationSaturday","HoursofOperationSunday","HoursofOperationThursday","HoursofOperationTuesday","HoursofOperationWednesday","LanguagesSpoken","MentalHealthSettings","OffersTelehealth","OpioidTreatmentPrograms","Phone","PopulationServed","ProviderDirectoryFormModifiedDate","ProviderLocationDisplayLabel","RSSOServicesProvided","SubstanceUseServices","TelehealthRestrictions","Website","lat","lon"
"","Wheelchair","0014M0000229lFCQAY","Colorado Assessment and Treatment Center - Boardwalk","0","0","1","155 East Boardwalk Drive, #400, Fort Collins, CO 80525","0","0","0","Colorado Assessment and Treatment Center - Fort Collins","Medicaid; Self Pay","0","8:00AM - 9:00PM","8:00AM - 9:00PM","8:00AM - 9:00PM","","8:00AM - 9:00PM","8:00AM - 9:00PM","8:00AM - 9:00PM","English","","","0","3037576019","Men; Women; Offender; Clients referred from Court/Judicial System","11/28/2022 12:50 PM","155 East Boardwalk Drive, #400_BR_ENCODED_Fort Collins, CO 80525","","Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System","","https://www.facebook.com/CATC.us/","40.532283","-105.0764141"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA3xcAAD","Peak View Behavioral Health-Sisters Grove","1","0","1","7353 Sisters Grove, Colorado Springs, CO 80923","0","0","0","Peak View Behavioral Health","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","5:00AM - 5:00AM","5:00AM - 5:00AM","5:00AM - 5:00AM","5:00AM - 5:00AM","5:00AM - 5:00AM","5:00AM - 5:00AM","5:00AM - 5:00AM","English; Spanish","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation","","0","(719) 444-8484","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/1/2022 3:03 PM","7353 Sisters Grove_BR_ENCODED_Colorado Springs, CO 80923","","Intensive Outpatient; General Treatment; Clinically Managed Residential Detoxification; Clinically Managed Medium Intensity Residential Services; Clinically Managed High Intensity Residential Services; Medically Monitored Inpatient Detoxification","","http://peakviewbh.com/","38.9384101","-104.7171911"
"","Wheelchair","0016100001HA3uIAAT","Recovering Spirit LLC - Lafayette","0","0","1","1490 N.  Lafayette St., Suite 208, Denver, CO 80218","0","0","1","Recovering Spirit","Self Pay; Sliding Fee Scale","0","9:00AM - 5:00PM","9:00AM - 8:00PM","","","9:00AM - 8:00PM","9:00AM - 8:00PM","9:00AM - 8:00PM","English","","","0","(720) 810-5922","LGBTQIA+; Men; Military; Older Adults; Women; Clients referred from Court/Judicial System","8/17/2022 2:29 PM","1490 N.  Lafayette St., Suite 208_BR_ENCODED_Denver, CO 80218","","Outpatient; General Treatment; DUI/DWI","","https://recoveringspirit.com/","39.739726","-104.9703655"
"yes","Wheelchair","0016100001HA3olAAD","Diversity Counseling and Education Center, LLC - Mississippi","0","0","1","11111 E. Mississippi Avenue, Suite 200, Aurora, Colorado 80012","0","0","1","Diversity Counseling and Education Center, LLC","Medicaid; Self Pay; Sliding Fee Scale","0","10:00AM - 8:00PM","","9:00AM - 4:30PM","","10:00AM - 8:00PM","10:00AM - 8:00PM","10:00AM - 8:00PM","English","","Telehealth Available - No Restrictions","0","(303) 296-2350","Homeless; Men; Military; Older Adults; Women; Offender; Clients referred from Court/Judicial System; American Indian","11/15/2022 11:30 AM","11111 E. Mississippi Avenue, Suite 200_BR_ENCODED_Aurora, Colorado 80012","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://diversitycounselingllc.com","39.6972751","-104.858505"
"","Wheelchair","0016100001HA3ttAAD","Denver Recovery Group, LLC - Boulder","0","0","1","5330 Manhattan Circle, Boulder, CO 80303","0","0","0","Denver Recovery Group - Boulder","Medicaid; Self Pay","0","6:00AM - 2:30PM","6:00AM - 2:30PM","6:30AM - 9:30AM","","6:00AM - 2:30PM","6:00AM - 2:30PM","6:00AM - 2:30PM","English","","","1","(303) 953-2299","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/13/2022 12:00 PM","5330 Manhattan Circle_BR_ENCODED_Boulder, CO 80303","","Opioid Treatment Programs; Outpatient; General Treatment; Medication Assisted Therapy","","www.denverrecoverygroup.com","39.9839484","-105.2277502"
"","Wheelchair","0016100001HA3p2AAD","Denver Recovery Group - Colfax","0","0","1","2822 E.Colfax, Denver, CO 80206","0","0","0","Denver Recovery Group - Denver","Medicaid; Self Pay","0","5:00AM - 8:00PM","5:00AM - 8:00PM","5:00AM - 9:00AM","","5:00AM - 8:00PM","5:00AM - 8:00PM","5:00AM - 8:00PM","English","","","1","(303) 953-2299","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/13/2022 12:00 PM","2822 E.Colfax_BR_ENCODED_Denver, CO 80206","","Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System","","www.denverrecoverygroup.com","39.739988","-104.9535105"
"","Wheelchair","0016100001HA3spAAD","Denver Recovery Group - Littleton","0","0","1","72 East Arapahoe Rd, Littleton, CO 80122","0","0","0","Denver Recovery Group - Littleton","Medicaid; Self Pay","0","5:00AM - 2:00PM","5:00AM - 2:00PM","6:00AM - 9:00AM","","5:00AM - 2:00PM","5:00AM - 2:00PM","5:00AM - 2:00PM","English","","","1","(720) 283-3055","","6/13/2022 12:00 PM","72 East Arapahoe Rd_BR_ENCODED_Littleton, CO 80122","","Opioid Treatment Programs; Outpatient; General Treatment; Medication Assisted Therapy","","www.denverrecoverygroup.com","39.5946711","-104.9866721"
"","Wheelchair","0014M00001g1Qx9QAE","Denver Recovery Group - Lakewood","0","0","1","8790 West Colfax Avenue, Lakewood, CO 80215","0","0","0","Denver Recovery Group - Lakewood","Medicaid; Self Pay","0","5:00AM - 1:30PM","5:00AM - 1:30PM","6:00AM - 8:00AM","","5:00AM - 1:30PM","5:00AM - 1:30PM","5:00AM - 1:30PM","English","","","1","(720) 940-3813","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","7/15/2022 12:51 PM","8790 West Colfax Avenue_BR_ENCODED_Lakewood, CO 80215","","Opioid Treatment Programs; Outpatient; General Treatment","","https://www.denverrecoverygroup.com/","39.7399092","-105.0951081"
"","","0014M00002937xXQAQ","Denver Recovery Group - Montrose","0","0","1","130 N. Park Ave., Montrose, CO 81401","0","0","0","Denver Recovery Group - Montrose","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","5:00AM - 10:00AM","5:00AM - 10:00AM","7:00AM - 9:00AM","","5:00AM - 10:00AM","5:00AM - 10:00AM","5:00AM - 10:00AM","","","","1","(720) 940-3813","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/13/2022 12:00 PM","130 N. Park Ave._BR_ENCODED_Montrose, CO 81401","","Opioid Treatment Programs; Outpatient; General Treatment","","denverrecoverygroup.com","38.4823239","-107.8756729"
"","Wheelchair","0014M00001e7rOpQAI","Denver Recovery Group - Colorado Springs","0","0","1","2531 Airport Road, Colorado Springs, CO 80910","0","0","0","Denver Recovery Group - Colorado Springs","Medicaid; Self Pay","0","5:00AM - 1:30PM","5:00AM - 1:30PM","","","5:00AM - 1:30PM","5:00AM - 1:30PM","5:00AM - 1:30PM","English","","","1","(719)300-7021","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","8/1/2022 12:46 PM","2531 Airport Road_BR_ENCODED_Colorado Springs, CO 80910","","Opioid Treatment Programs; Outpatient","","https://www.denverrecoverygroup.com/","38.8250298","-104.7824384"
"","Wheelchair","0014M00002G13EyQAJ","Denver Recovery Group - Glenwood Springs","0","0","1","1429 Grand Avenue, Glenwood Springs, Colorado 81601","0","0","0","Denver Recovery Group - Glenwood Springs","Medicaid; Self Pay","0","6:00AM - 10:00AM","6:00AM - 10:00AM","6:00AM - 8:00AM","","6:00AM - 10:00AM","6:00AM - 10:00AM","6:00AM - 10:00AM","English","","","1","(720)940-3813","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","8/1/2022 12:50 PM","1429 Grand Avenue_BR_ENCODED_Glenwood Springs, Colorado 81601","","Opioid Treatment Programs; Outpatient; General Treatment","","denverrecoverygroup.com","39.5382715","-107.3255235"
"","","0014M00001xm8uNQAQ","Denver Recovery Group - Northglenn","0","0","1","11658 Huron Street, Northglenn, CO 80234","0","0","0","Denver Recovery Group - Northglenn","","0","6:00AM - 2:30PM","6:00AM - 2:30PM","6:00AM - 8:00AM","","6:00AM - 2:30PM","6:00AM - 2:30PM","6:00AM - 2:30PM","","","","1","(720) 940-3813","","6/12/2022 9:02 PM","11658 Huron Street_BR_ENCODED_Northglenn, CO 80234","","Opioid Treatment Programs; Outpatient; General Treatment","","denerrecoverygroup.com","39.9082345","-104.9951574"
"","","0016100001HA3mhAAD","Insight Services PLLC  - Monument St","1","0","1","212 E. Monument St, Colorado Springs, Colorado 80903","0","1","1","Insight Services PLLC - Colorado Springs (Monument St)","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 6:00PM","8:00AM - 6:00PM","","","8:00AM - 6:00PM","8:00AM - 6:00PM","8:00AM - 6:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 447-0370","Homeless; LGBTQIA+; Men; Military; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","","212 E. Monument St_BR_ENCODED_Colorado Springs, Colorado 80903","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","www.insightservicescolorado.com","38.8438949","-104.8203364"
"","","0016100001R3hqcAAB","Insight Services, PLLC - Academy Circle","1","0","1","2121 Academy Circle, Suite 203, Colorado Springs, CO 80909","0","1","1","Insight Services, PLLC - Colorado Springs (Academy Circle)","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","9:00AM - 6:00PM","9:00AM - 6:00PM","9:00AM - 12:00PM","","9:00AM - 6:00PM","9:00AM - 6:00PM","9:00AM - 6:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 447-0370","Homeless; LGBTQIA+; Men; Military; Women; Offender; Clients referred from Court/Judicial System","","2121 Academy Circle, Suite 203_BR_ENCODED_Colorado Springs, CO 80909","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","www.insightservicescolorado.com","38.8626559","-104.755421"
"","Wheelchair","0016100001HA3jKAAT","Specialized Alternatives For Families and Youth-Fort Collins","1","0","0","1600 Specht Point Road, Ste. 105, Ft. Collins, CO 80525","0","1","0","Specialized Alternatives For Families and Youth","Medicaid; Private Insurance; Self Pay","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(970) 494-5891","Minors/Adolescents","5/25/2022 9:49 AM","1600 Specht Point Road, Ste. 105_BR_ENCODED_Ft. Collins, CO 80525","","","","www.safy.org/colorado","40.5666168","-105.0349369"
"yes","Wheelchair","0016100001HA3yfAAD","Ryon Medical & Associates, LLC - Lacey","1","0","0","318 Lacey Ave, La Junta, CO 81050","0","1","0","Ryon Medical & Associates, LLC","Medicaid; Private Insurance; Self Pay","0","7:30AM - 12:00PM","7:30AM - 6:30PM","","","7:30AM - 6:30PM","7:30AM - 6:30PM","7:30AM - 6:30PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","Telehealth Available - No Restrictions","0","(719) 384-0303","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","11/14/2022 4:30 PM","318 Lacey Ave_BR_ENCODED_La Junta, CO 81050","","","","www.ryonmedical.com","37.9850946","-103.5233054"
"","","0016100001HA3uwAAD","Parkview Medical Center - 16th St.","1","0","0","400 W. 16th St., Pueblo, CO 81003","0","0","0","Parkview Medical Center - Adult/Senior Psychiatric Services","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation","","0","719-584-4000","","12/5/2022 9:42 AM","400 W. 16th St._BR_ENCODED_Pueblo, CO 81003","","","","https://www.parkviewmc.com/","38.2817831","-104.612694"
"","Wheelchair","0016100001HA3ypAAD","Addiction Treatment Outpatient Services - Dry Creek Rd","0","0","1","7200 E. Dry Creek Rd #C-203, Centennial, CO 80112","0","0","1","Addiction Treatment Outpatient Services","Medicaid; Self Pay","0","","9:00AM - 6:00PM","","","9:00AM - 8:30PM","9:00AM - 8:30PM","9:00AM - 6:00PM","English","","","0","(303) 329-3105","Clients referred from Court/Judicial System","5/19/2022 1:10 PM","7200 E. Dry Creek Rd #C-203_BR_ENCODED_Centennial, CO 80112","","Outpatient; General Treatment; DUI/DWI","","www.atops.org","39.5798005","-104.9051149"
"","Wheelchair","0016100001HA3ygAAD","Creative Treatment Options - 66th","0","0","1","7585 West 66th Avenue Building C, Arvada, CO 80003","0","0","1","Creative Treatment Options - Arvada","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","","8:00AM - 8:00PM","8:00AM - 8:00PM","","8:00AM - 8:00PM","8:00AM - 8:00PM","8:00AM - 8:00PM","English","","","0","(303) 467-2624","LGBTQIA+; Men; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System","6/22/2022 12:00 PM","7585 West 66th Avenue Building C_BR_ENCODED_Arvada, CO 80003","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","creativetreatmentoptions.com","39.8168731","-105.0798992"
"","Deaf/Hard of Hearing; Visually Impaired","0016100001HA3yhAAD","Creative Treatment Options - Vance","0","0","1","1410 Vance Street Suite 204, Lakewood, CO 80003","0","0","1","Creative Treatment Options - Lakewood - Outpatient Behavioral Healthcare","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","","8:00AM - 7:30PM","8:00AM - 1:30PM","","8:00AM - 7:30PM","8:00AM - 7:30PM","8:00AM - 7:30PM","English","","","0","(303) 467-2624","Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System","6/22/2022 12:00 PM","1410 Vance Street Suite 204_BR_ENCODED_Lakewood, CO 80003","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","www.creativetreatmentoptions.com","39.7388267","-105.0786204"
"","Wheelchair","0014M00001iyQz7QAE","Creative Treatment Options - Colorado Blvd","0","0","1","7190 Colorado Blvd Ste 340, Commerce City, CO 80022","0","0","1","Creative Treatment Options - Commerce City","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","","8:00AM - 7:00PM","8:00AM - 12:00PM","","8:00AM - 7:00PM","8:00AM - 7:00PM","8:00AM - 7:00PM","English","","","0","(303) 467-2624","LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System","6/22/2022 12:00 PM","7190 Colorado Blvd Ste 340_BR_ENCODED_Commerce City, CO 80022","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","www.creativetreatmentoptions.com","39.8268792","-104.9390222"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA3o4AAD","Atlas Counseling & Consulting - 1st Street","0","0","1","190 S. 1st Street, Bennett, CO 80102","0","0","1","Atlas Counseling and Consulting","Medicaid; Private Insurance; Self Pay","0","8:30AM - 6:00PM","8:30AM - 8:00PM","8:00AM - 5:00PM","","8:30AM - 8:00PM","8:30AM - 8:00PM","9:00AM - 6:00PM","English; Spanish","","","0","(303) 644-4240","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","9/26/2022 10:25 AM","190 S. 1st Street_BR_ENCODED_Bennett, CO 80102","","Outpatient; General Treatment; DUI/DWI; Level II Four Plus","","","39.7551539","-104.4328026"
"","","0016100001HA438AAD","New Beginnings Recovery Center - Orchard","0","0","1","191 E. Orchard Rd. # A, Littleton, CO 80121","0","0","1","New Beginnings Recovery Center","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","9:00AM - 5:00PM","9:00AM - 5:00AM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English","","","0","(303) 830-2064","","6/1/2022 4:26 PM","191 E. Orchard Rd. # A_BR_ENCODED_Littleton, CO 80121","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Day Treatment (Partial Hospitalization); Medically Monitored Intensive Residential Treatment","","www.newbeginningsrecoverydenver.com","39.6099755","-104.9863353"
"yes","Wheelchair","0016100001HA3o1AAD","HEART Counseling - Washington","0","0","1","10327 Washington St., Thornton, CO 80229","0","0","1","H.E.A.R.T. Counseling Center, LLC - Thornton","Medicaid; Self Pay; Sliding Fee Scale","0","8:00AM - 7:00PM","8:00AM - 8:00PM","8:00AM - 4:00PM","","8:00AM - 8:00PM","8:00AM - 8:00PM","8:00AM - 8:00PM","English","","Telehealth Available - No Restrictions","0","(720) 379-6995","Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/1/2022 3:03 PM","10327 Washington St._BR_ENCODED_Thornton, CO 80229","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","www.myheartcounseling.com","39.8831024","-104.9784393"
"","Wheelchair","0016100001HA3o2AAD","HEART Counseling - Pecos","0","0","1","12213 Pecos St. Suite 500, Westminster, CO 80234","0","0","1","H.E.A.R.T Counseling Center, LLC - Westminster","Medicaid; Self Pay; Sliding Fee Scale","0","11:00AM - 9:00PM","9:00AM - 7:00PM","8:00AM - 7:00PM","12:30PM - 3:30PM","11:00AM - 9:30PM","9:30AM - 9:30PM","11:00AM - 9:30PM","English","","","0","(720) 379-6995","Homeless; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/13/2022 12:00 PM","12213 Pecos St. Suite 500_BR_ENCODED_Westminster, CO 80234","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","www.myheartcounseling.com","39.9192238","-105.0062329"
"","","0016100001HA4QrAAL","The Empowerment Program - York","1","0","1","1600 York St, Denver, CO 80206","0","1","0","The Empowerment Program","","0","8:30AM - 5:00PM","8:30AM - 5:00PM","","","8:30AM - 5:00PM","8:30AM - 12:00PM","8:30AM - 5:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 320-1989","HIV; Homeless; LGBTQIA+; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System","6/2/2022 12:00 PM","1600 York St_BR_ENCODED_Denver, CO 80206","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women","","empowermentprogram.org","39.7419429","-104.9594659"
"yes","Wheelchair","0016100001HA4R2AAL","Colorado Treatment Services LLC - Academy","0","0","1","5360 North Academy Drive, Colorado Springs, Colorado 80918","0","0","0","Colorado Treatment Services - Colorado Springs","Medicaid; Self Pay; Sliding Fee Scale","0","5:30AM - 12:00PM","5:30AM - 12:00PM","7:00AM - 9:00AM","","5:30AM - 12:00PM","5:30AM - 12:00PM","5:30AM - 12:00PM","English; Spanish","","Telehealth Available - No Restrictions","1","(719) 434-2061","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","11/15/2022 10:50 AM","5360 North Academy Drive_BR_ENCODED_Colorado Springs, Colorado 80918","","Opioid Treatment Programs; Outpatient; General Treatment; Medication Assisted Therapy","","www.cotreatment.com","38.9054173","-104.7819768"
"","Wheelchair","0016100001JgbNDAAZ","Colorado Treatment Services LLC - Greeley","0","0","1","3400 W 16TH ST STE P, Greeley, CO 80634","0","0","0","Colorado Treatment Services - Greeley","Medicaid; Self Pay","0","5:30AM - 12:00PM","5:30AM - 12:00PM","6:00AM - 9:00AM","6:00AM - 9:00AM","5:00AM - 12:00PM","5:30AM - 12:00PM","5:30AM - 12:00PM","English","","","1","(970) 978-4386","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/28/2022 1:18 PM","3400 W 16TH ST STE P_BR_ENCODED_Greeley, CO 80634","","Opioid Treatment Programs; Outpatient; General Treatment; Medication Assisted Therapy","","www.cotreatment.com","40.4132397","-104.7341835"
"","Wheelchair","0016100001JgbQgAAJ","Colorado Treatment Services LLC - Pueblo","0","0","1","275 W. Abriendo Avenue, Pueblo, CO 81004","0","0","0","Colorado Treatment Services - Pueblo","Medicaid; Self Pay","0","5:30AM - 12:00PM","5:30AM - 12:00PM","6:00AM - 9:00AM","","5:30AM - 12:00PM","5:30AM - 12:00PM","5:30AM - 12:00PM","English; Spanish","","","1","(719) 621-1929","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/28/2022 1:26 PM","275 W. Abriendo Avenue_BR_ENCODED_Pueblo, CO 81004","","Opioid Treatment Programs; Outpatient; General Treatment; Medication Assisted Therapy","","www.cotreatment.com","38.2613501","-104.6227692"
"","","0016100001HA4D9AAL","Diversus Health - Southpointe","1","0","0","675 Southpointe Ct, Colorado Springs, CO 80906","1","0","0","Diversus Health - Colorado Springs (Southpointe Ct) - CMHC","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","","Outpatient; Intensive Outpatient; Day Treatment; Community Mental Health Center","","0","719-572-6100","","12/5/2022 9:37 AM","675 Southpointe Ct_BR_ENCODED_Colorado Springs, CO 80906","","","","https://diversushealth.org/","38.7962992","-104.8152754"
"","","0016100001HA4R7AAL","Diversus Health - Fountain","0","0","1","350 Lyckman Drive, Fountain, CO 80817","1","0","1","Diversus Health - Fountain","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","","","","0","719-572-6100","","12/5/2022 9:37 AM","350 Lyckman Drive_BR_ENCODED_Fountain, CO 80817","","Outpatient; General Treatment; DUI/DWI; Youth Treatment","","https://diversushealth.org/","38.6921256","-104.7055677"
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA4RIAA1","Diversus Health - Moreno","0","0","1","875 Moreno Ave., Colorado Springs, CO 80903","1","0","0","Diversus Health Moreno Counseling & Psychiatric Center","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","","Telehealth Available - No Restrictions","0","(719) 572-6100","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","11/14/2022 4:31 PM","875 Moreno Ave._BR_ENCODED_Colorado Springs, CO 80903","","Outpatient; General Treatment","","https://diversushealth.org/","38.8247924","-104.8422697"
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA4RKAA1","Diversus Health - Jet Wing","0","0","1","1795 Jet Wing Dr., Colorado Springs, CO 80916","1","0","1","Diversus Health Jet Wing Counseling, Psychiatric, & Addiction Center","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","7:30AM - 7:00PM","7:30AM - 7:00PM","","","7:30AM - 7:00PM","7:30AM - 7:00PM","7:30AM - 7:00PM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","Outpatient; Intensive Outpatient; Day Treatment; Community Mental Health Center","Telehealth Available - No Restrictions","0","(719) 572-6100","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian; Latinx","11/14/2022 4:29 PM","1795 Jet Wing Dr._BR_ENCODED_Colorado Springs, CO 80916","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://diversushealth.org/","38.8079622","-104.7410177"
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA4RLAA1","Diversus Health - ATU","1","0","0","115 South Parkside Drive, Colorado Springs, CO 80910","0","0","0","Diversus Health - Colorado Springs (Parkside Dr) - ATU","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","72-Hour Treatment & Evaluation; Residential Short Term Treatment; Psychiatric Residential; Acute Treatment Unit","Telehealth Available - No Restrictions","0","(719) 572-6100","Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","11/14/2022 4:20 PM","115 South Parkside Drive_BR_ENCODED_Colorado Springs, CO 80910","","Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://diversushealth.org/","38.8299526","-104.7846843"
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA4DLAA1","Diversus Health - 179 Parkside","0","0","1","179 Parkside Dr, Colorado Springs, CO 80910","1","0","0","Diversus Health Parkside Child & Family Services","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","7:30AM - 6:00PM","7:30AM - 6:00PM","","","7:30AM - 6:00PM","7:30AM - 6:00PM","7:30AM - 6:00PM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","Intensive Outpatient; Day Treatment; Community Mental Health Center","Telehealth Available - No Restrictions","0","(719) 572-6100","Homeless; LGBTQIA+; Youth; Minors/Adolescents; Latinx","11/14/2022 4:21 PM","179 Parkside Dr_BR_ENCODED_Colorado Springs, CO 80910","","Outpatient; General Treatment; Youth Treatment","","https://diversushealth.org/","38.8295623","-104.7852314"
